delivery_id,order_id,delivery_person_id,delivery_status,distance,delivery_time,estimated_time,delivery_fee,vehicle_type,delay_minutes,sla_breach_flag,distance_tier
324,1063,187,Cancelled,24.77,35,44,22.73,Electric Scooter,0,Within SLA,Long Distance
325,279,358,Delivered,24.9,25,42,37.6,Bike,0,Within SLA,Long Distance
326,195,459,Pending,1.74,32,52,26.57,Motorcycle,0,Within SLA,Short Distance
327,633,145,Delivered,27.97,42,24,35.48,Electric Bike,18,Breached,Long Distance
328,107,94,Pending,47.22,44,50,8.32,Bike,0,Within SLA,Long Distance
329,965,243,Pending,48.53,58,43,35.54,Scooter,15,Breached,Long Distance
330,242,231,Cancelled,49.97,32,50,28.42,Moped,0,Within SLA,Long Distance
331,737,61,Pending,46.9,34,40,23.72,Electric Bike,0,Within SLA,Long Distance
332,1220,342,Cancelled,12.77,34,53,10.84,Electric Scooter,0,Within SLA,Medium Distance
333,160,116,Delivered,25.86,20,56,28.96,Electric Bike,0,Within SLA,Long Distance
334,159,157,On the way,15.35,57,57,20.5,Bike,0,Within SLA,Medium Distance
335,463,5,Delivered,19.31,49,62,16.18,Electric Scooter,0,Within SLA,Medium Distance
336,608,302,On the way,14.47,24,62,23.84,Motorcycle,0,Within SLA,Medium Distance
337,750,266,Delivered,46.98,46,47,41.36,Electric Bike,0,Within SLA,Long Distance
338,887,449,Cancelled,47.28,45,38,47.95,Moped,7,Breached,Long Distance
339,203,471,Pending,29.47,51,44,5.36,Electric Scooter,7,Breached,Long Distance
340,341,184,Pending,40.33,25,61,31.01,Bike,0,Within SLA,Long Distance
341,742,90,Delivered,4.63,50,48,25.41,Electric Scooter,2,Within SLA,Short Distance
342,1258,25,Cancelled,37.01,44,21,26.05,Bike,23,Breached,Long Distance
343,1373,409,On the way,32.67,38,60,49.63,Scooter,0,Within SLA,Long Distance
344,979,8,Delivered,8.21,46,53,32.16,Motorcycle,0,Within SLA,Medium Distance
345,382,84,On the way,1.94,59,34,33.33,Electric Scooter,25,Breached,Short Distance
346,1374,498,On the way,2.63,44,61,37.62,Moped,0,Within SLA,Short Distance
347,1023,446,Pending,10.32,46,40,19.61,Electric Scooter,6,Breached,Medium Distance
348,1151,363,Pending,3.95,26,67,16.7,Moped,0,Within SLA,Short Distance
349,1119,495,Delivered,16.09,23,51,6.6,Motorcycle,0,Within SLA,Medium Distance
350,749,157,Delivered,47.3,40,43,21.69,Moped,0,Within SLA,Long Distance
351,292,31,Cancelled,5.78,54,39,37.59,Scooter,15,Breached,Medium Distance
352,88,348,Delivered,37.5,57,27,20.15,Moped,30,Breached,Long Distance
353,78,31,Pending,33,27,20,38.52,Electric Bike,7,Breached,Long Distance
354,1299,169,Delivered,23.54,52,29,21.08,Scooter,23,Breached,Long Distance
355,1255,183,Delivered,10.18,51,69,38.49,Scooter,0,Within SLA,Medium Distance
356,813,330,Pending,19.17,22,58,2.65,Bike,0,Within SLA,Medium Distance
357,667,181,Delivered,45.38,31,58,20.27,Moped,0,Within SLA,Long Distance
358,354,36,Delivered,15.4,50,25,35.13,Electric Scooter,25,Breached,Medium Distance
359,1239,180,Delivered,4.01,49,65,24.18,Moped,0,Within SLA,Short Distance
360,1237,114,Cancelled,15.12,33,23,20.04,Electric Scooter,10,Breached,Medium Distance
361,1210,229,Pending,1.65,39,60,43.29,Motorcycle,0,Within SLA,Short Distance
362,360,318,Pending,44.49,38,38,37.59,Motorcycle,0,Within SLA,Long Distance
363,255,272,On the way,8.31,45,39,40.02,Moped,6,Breached,Medium Distance
364,335,217,Delivered,39.11,23,21,1.38,Electric Bike,2,Within SLA,Long Distance
365,1066,60,Pending,48.27,22,26,17.41,Motorcycle,0,Within SLA,Long Distance
366,1182,318,Delivered,14.7,26,61,2.48,Moped,0,Within SLA,Medium Distance
367,1328,493,Cancelled,4.61,48,68,18.8,Moped,0,Within SLA,Short Distance
368,1246,222,Pending,29.86,56,29,31.56,Motorcycle,27,Breached,Long Distance
369,1037,304,On the way,5.8,37,68,26.46,Electric Scooter,0,Within SLA,Medium Distance
370,584,282,Pending,34.25,46,39,29.4,Motorcycle,7,Breached,Long Distance
371,92,428,Cancelled,44.84,45,22,9.91,Motorcycle,23,Breached,Long Distance
372,1417,4,Cancelled,36.97,19,59,18.02,Electric Bike,0,Within SLA,Long Distance
373,1417,260,On the way,49.66,56,49,13.2,Bike,7,Breached,Long Distance
374,1054,98,Delivered,4.4,30,46,0.03,Moped,0,Within SLA,Short Distance
375,509,140,Delivered,38.8,40,44,49.6,Electric Scooter,0,Within SLA,Long Distance
376,728,142,Pending,8.28,39,23,27.18,Bike,16,Breached,Medium Distance
377,15,348,Cancelled,42.99,20,70,25.71,Motorcycle,0,Within SLA,Long Distance
378,713,174,Pending,41.35,15,33,8.55,Electric Scooter,0,Within SLA,Long Distance
379,1141,342,Cancelled,48.07,41,27,11.57,Electric Scooter,14,Breached,Long Distance
380,1421,442,Cancelled,14.42,36,23,27.87,Bike,13,Breached,Medium Distance
381,1496,492,On the way,31.4,55,27,5.75,Scooter,28,Breached,Long Distance
382,726,61,Delivered,11.3,49,43,15.44,Electric Bike,6,Breached,Medium Distance
383,881,425,Cancelled,44.83,37,64,11.5,Scooter,0,Within SLA,Long Distance
384,290,414,Pending,5.16,19,51,38.07,Electric Scooter,0,Within SLA,Medium Distance
385,1314,118,Delivered,30.28,46,43,6.79,Bike,3,Within SLA,Long Distance
386,853,210,On the way,38.82,41,68,30,Electric Bike,0,Within SLA,Long Distance
387,671,317,Pending,36.57,40,36,15.54,Scooter,4,Within SLA,Long Distance
388,753,477,On the way,40.74,41,60,47.13,Scooter,0,Within SLA,Long Distance
389,1250,301,On the way,48.03,52,24,1.47,Moped,28,Breached,Long Distance
390,509,368,Cancelled,15.85,41,33,40.06,Motorcycle,8,Breached,Medium Distance
391,525,384,On the way,49.7,33,70,15.98,Scooter,0,Within SLA,Long Distance
392,1050,408,Delivered,36.51,17,57,5.31,Scooter,0,Within SLA,Long Distance
393,1092,435,Delivered,38.31,52,25,34.35,Electric Scooter,27,Breached,Long Distance
394,200,37,Delivered,3.56,29,38,16.23,Moped,0,Within SLA,Short Distance
395,1342,497,Delivered,33.41,42,47,31.57,Motorcycle,0,Within SLA,Long Distance
396,1253,321,Delivered,42.65,32,39,37.95,Scooter,0,Within SLA,Long Distance
397,432,242,Cancelled,34.9,21,24,38.02,Motorcycle,0,Within SLA,Long Distance
398,340,153,On the way,1.8,20,24,17.17,Motorcycle,0,Within SLA,Short Distance
399,365,452,On the way,18.99,38,23,21.45,Scooter,15,Breached,Medium Distance
400,1201,91,Pending,35.78,25,59,47.6,Scooter,0,Within SLA,Long Distance
401,1208,189,Cancelled,36.82,19,34,31.8,Scooter,0,Within SLA,Long Distance
402,1332,492,On the way,21.5,39,52,35.78,Electric Bike,0,Within SLA,Long Distance
403,970,318,Cancelled,11.22,40,56,43.17,Electric Scooter,0,Within SLA,Medium Distance
404,710,369,Pending,33.55,57,34,14.39,Electric Bike,23,Breached,Long Distance
405,1398,458,Delivered,43.3,30,66,3.85,Scooter,0,Within SLA,Long Distance
406,263,462,On the way,43.63,41,29,9.56,Electric Scooter,12,Breached,Long Distance
407,206,485,Cancelled,29.33,20,46,5.55,Moped,0,Within SLA,Long Distance
408,179,139,On the way,11.26,42,28,1.79,Motorcycle,14,Breached,Medium Distance
409,953,229,Pending,32.06,42,70,25.95,Moped,0,Within SLA,Long Distance
410,60,61,Delivered,30.31,41,46,41.04,Bike,0,Within SLA,Long Distance
411,462,367,Cancelled,10.12,25,68,26.08,Scooter,0,Within SLA,Medium Distance
412,757,395,On the way,45.49,28,28,16.18,Motorcycle,0,Within SLA,Long Distance
413,594,107,On the way,35.8,30,50,40.38,Bike,0,Within SLA,Long Distance
414,319,343,On the way,49.46,30,31,19.2,Bike,0,Within SLA,Long Distance
415,1033,230,Delivered,43.13,30,28,15.5,Bike,2,Within SLA,Long Distance
416,489,249,Delivered,17.48,50,51,8.19,Bike,0,Within SLA,Medium Distance
417,889,212,On the way,10.69,41,53,19.68,Motorcycle,0,Within SLA,Medium Distance
418,1426,43,Delivered,10.9,24,42,46.33,Electric Scooter,0,Within SLA,Medium Distance
419,646,87,Cancelled,6.86,31,24,30.85,Moped,7,Breached,Medium Distance
420,725,482,Delivered,41.67,24,58,13.09,Scooter,0,Within SLA,Long Distance
421,1092,88,Delivered,40.37,54,36,44.5,Moped,18,Breached,Long Distance
422,1376,25,Delivered,29.65,43,67,33.84,Bike,0,Within SLA,Long Distance
423,81,22,Cancelled,21.82,47,25,41.05,Scooter,22,Breached,Long Distance
424,165,458,On the way,19.17,38,39,0.44,Bike,0,Within SLA,Medium Distance
425,382,134,Delivered,47.69,19,50,21.76,Electric Bike,0,Within SLA,Long Distance
426,383,96,Pending,29.04,55,56,37.62,Bike,0,Within SLA,Long Distance
427,3,183,Cancelled,24.47,23,22,48.21,Electric Bike,1,Within SLA,Long Distance
428,827,313,Cancelled,17.25,47,50,19.05,Scooter,0,Within SLA,Medium Distance
429,1193,396,Delivered,32.97,46,55,17.03,Scooter,0,Within SLA,Long Distance
430,361,464,Pending,12.56,31,40,25.81,Bike,0,Within SLA,Medium Distance
431,211,328,Pending,23.38,49,48,38.25,Electric Bike,1,Within SLA,Long Distance
432,794,432,Pending,29.76,34,42,39.94,Electric Bike,0,Within SLA,Long Distance
433,97,416,On the way,39.25,27,57,2.24,Moped,0,Within SLA,Long Distance
434,249,35,Pending,49.3,53,54,38.86,Moped,0,Within SLA,Long Distance
435,20,297,Delivered,7.5,54,45,37.75,Bike,9,Breached,Medium Distance
436,646,217,Pending,3.38,35,59,24.46,Scooter,0,Within SLA,Short Distance
437,1296,32,Cancelled,36.25,58,29,4.35,Electric Scooter,29,Breached,Long Distance
438,677,396,Cancelled,6.58,45,53,36.05,Scooter,0,Within SLA,Medium Distance
439,1442,87,On the way,21.7,28,32,32.8,Electric Bike,0,Within SLA,Long Distance
440,1268,65,Delivered,26.88,16,48,47.11,Electric Bike,0,Within SLA,Long Distance
441,944,60,Cancelled,34.59,41,62,42.79,Bike,0,Within SLA,Long Distance
442,814,402,On the way,33.81,31,20,16.26,Motorcycle,11,Breached,Long Distance
443,930,52,Pending,29.6,49,48,22.85,Scooter,1,Within SLA,Long Distance
444,678,50,On the way,49.05,37,43,13.93,Bike,0,Within SLA,Long Distance
445,1020,36,Delivered,19.95,60,53,9.78,Moped,7,Breached,Medium Distance
446,1478,16,On the way,49.58,45,65,37.77,Scooter,0,Within SLA,Long Distance
447,121,118,Delivered,29.93,28,57,41.47,Scooter,0,Within SLA,Long Distance
448,1429,210,Pending,36.69,38,68,38.5,Bike,0,Within SLA,Long Distance
449,577,231,Delivered,27.63,31,47,46.2,Electric Scooter,0,Within SLA,Long Distance
450,1234,317,Pending,39.37,38,67,24.3,Moped,0,Within SLA,Long Distance
451,449,231,On the way,27.4,58,25,14.84,Electric Bike,33,Breached,Long Distance
452,1319,308,Cancelled,37.31,42,65,43.25,Moped,0,Within SLA,Long Distance
453,597,217,On the way,6.03,16,46,13.33,Motorcycle,0,Within SLA,Medium Distance
454,638,53,Cancelled,18.74,55,39,12.98,Moped,16,Breached,Medium Distance
455,788,157,Delivered,48.8,32,51,13.18,Bike,0,Within SLA,Long Distance
456,922,171,Cancelled,25.82,53,32,23.41,Scooter,21,Breached,Long Distance
457,742,396,Cancelled,31.98,33,56,28.51,Scooter,0,Within SLA,Long Distance
458,370,352,On the way,18.29,35,20,10.46,Motorcycle,15,Breached,Medium Distance
459,360,171,Cancelled,25.14,44,69,4.12,Motorcycle,0,Within SLA,Long Distance
460,373,365,Cancelled,45.74,43,34,26,Bike,9,Breached,Long Distance
461,1349,402,Pending,34.26,37,43,17.87,Electric Bike,0,Within SLA,Long Distance
462,598,203,Pending,22.89,28,21,38.69,Electric Bike,7,Breached,Long Distance
463,294,126,On the way,42.17,55,34,40.66,Motorcycle,21,Breached,Long Distance
464,344,310,On the way,11.97,29,64,30.32,Bike,0,Within SLA,Medium Distance
465,1203,10,Cancelled,15.44,36,54,3.28,Moped,0,Within SLA,Medium Distance
466,808,438,Cancelled,13.37,20,23,39.12,Motorcycle,0,Within SLA,Medium Distance
467,766,472,On the way,19.12,46,21,17.62,Moped,25,Breached,Medium Distance
468,421,151,Cancelled,30.01,35,40,42.61,Electric Bike,0,Within SLA,Long Distance
469,1383,38,On the way,26.97,31,62,47.2,Scooter,0,Within SLA,Long Distance
470,1490,336,On the way,28.73,40,64,43.49,Moped,0,Within SLA,Long Distance
471,508,112,On the way,1.13,45,53,19,Moped,0,Within SLA,Short Distance
472,1177,116,Cancelled,34.86,25,26,43.06,Scooter,0,Within SLA,Long Distance
473,710,306,Cancelled,42.03,22,29,44.49,Electric Scooter,0,Within SLA,Long Distance
474,1243,312,Delivered,7.24,31,35,39.32,Electric Bike,0,Within SLA,Medium Distance
475,1247,219,Delivered,18.61,25,21,30.69,Motorcycle,4,Within SLA,Medium Distance
476,1168,205,Pending,22.19,53,39,17.09,Motorcycle,14,Breached,Long Distance
477,564,319,Delivered,44.89,55,31,9.56,Electric Scooter,24,Breached,Long Distance
478,1479,481,On the way,42.05,24,62,16.23,Bike,0,Within SLA,Long Distance
479,758,389,Cancelled,1.04,58,28,14.58,Bike,30,Breached,Short Distance
480,85,415,Delivered,7.65,19,38,27.5,Motorcycle,0,Within SLA,Medium Distance
481,1301,122,Delivered,29.71,34,61,28.21,Scooter,0,Within SLA,Long Distance
482,235,436,Cancelled,35.67,43,60,39.81,Scooter,0,Within SLA,Long Distance
483,736,1,Delivered,7.2,42,61,16.19,Scooter,0,Within SLA,Medium Distance
484,791,224,Delivered,20.88,49,68,12.01,Motorcycle,0,Within SLA,Long Distance
485,1483,123,On the way,6.25,31,34,42,Moped,0,Within SLA,Medium Distance
486,1227,339,Pending,27.53,19,39,24.21,Electric Bike,0,Within SLA,Long Distance
487,201,295,Cancelled,11.55,32,51,42.44,Moped,0,Within SLA,Medium Distance
488,1047,281,Delivered,33.02,36,23,36.46,Electric Bike,13,Breached,Long Distance
489,996,480,Pending,41.02,15,49,1.61,Scooter,0,Within SLA,Long Distance
490,231,448,Pending,1.32,53,69,25.45,Electric Scooter,0,Within SLA,Short Distance
491,1197,342,Delivered,27.12,45,51,35.39,Electric Scooter,0,Within SLA,Long Distance
492,1277,221,Cancelled,38.06,44,58,49.13,Motorcycle,0,Within SLA,Long Distance
493,631,375,Pending,1.49,27,29,33.37,Electric Bike,0,Within SLA,Short Distance
494,1384,295,Cancelled,33.72,36,52,44.99,Bike,0,Within SLA,Long Distance
495,445,121,Pending,23.14,30,30,9.59,Electric Bike,0,Within SLA,Long Distance
496,1105,98,On the way,36.64,25,52,49.01,Bike,0,Within SLA,Long Distance
497,791,204,Delivered,6.19,17,47,15.87,Motorcycle,0,Within SLA,Medium Distance
498,1220,250,Cancelled,2.84,49,35,38.8,Moped,14,Breached,Short Distance
499,512,315,On the way,28.38,43,64,8.89,Electric Scooter,0,Within SLA,Long Distance
500,255,45,Pending,27.7,20,30,28.64,Motorcycle,0,Within SLA,Long Distance
501,655,381,Pending,30.76,35,30,47.99,Motorcycle,5,Within SLA,Long Distance
502,632,379,Delivered,22.11,24,21,12.85,Scooter,3,Within SLA,Long Distance
503,455,154,Pending,41.36,53,41,11.74,Electric Bike,12,Breached,Long Distance
504,532,386,Pending,3.81,28,34,41.88,Electric Bike,0,Within SLA,Short Distance
505,1135,349,Cancelled,9.19,54,65,7.65,Scooter,0,Within SLA,Medium Distance
506,674,142,Delivered,27.36,34,44,28.07,Scooter,0,Within SLA,Long Distance
507,59,51,On the way,33.7,58,33,46.44,Bike,25,Breached,Long Distance
508,728,431,Cancelled,11.63,36,59,19.71,Moped,0,Within SLA,Medium Distance
509,1071,76,Delivered,40.56,51,26,48.39,Moped,25,Breached,Long Distance
510,684,476,Cancelled,10.94,33,46,1.41,Motorcycle,0,Within SLA,Medium Distance
511,198,123,Delivered,30.26,45,50,38.06,Electric Scooter,0,Within SLA,Long Distance
512,258,172,Cancelled,48.01,46,22,48.95,Scooter,24,Breached,Long Distance
513,242,148,On the way,37.24,41,28,40.04,Electric Bike,13,Breached,Long Distance
514,1435,79,Delivered,49.53,18,55,13.42,Electric Scooter,0,Within SLA,Long Distance
515,1317,189,Pending,25.26,48,35,16.37,Electric Scooter,13,Breached,Long Distance
516,535,166,Delivered,26.76,39,30,39.18,Bike,9,Breached,Long Distance
517,1311,434,Pending,41.87,15,25,19.94,Electric Bike,0,Within SLA,Long Distance
518,544,407,On the way,34.1,41,36,22.98,Scooter,5,Within SLA,Long Distance
519,1453,103,Delivered,15.23,25,51,5.08,Scooter,0,Within SLA,Medium Distance
520,1405,283,Pending,25.62,59,54,18.55,Motorcycle,5,Within SLA,Long Distance
521,160,73,Cancelled,39.84,44,24,36.1,Bike,20,Breached,Long Distance
522,913,240,Delivered,27.21,32,44,22.14,Motorcycle,0,Within SLA,Long Distance
523,1199,359,Cancelled,38.62,33,58,36.12,Bike,0,Within SLA,Long Distance
524,659,478,Pending,38.66,42,44,12.12,Scooter,0,Within SLA,Long Distance
525,284,4,Cancelled,41.74,23,53,22.6,Bike,0,Within SLA,Long Distance
526,150,100,Delivered,17.44,55,56,48.56,Motorcycle,0,Within SLA,Medium Distance
527,861,223,On the way,11.8,36,56,2.05,Electric Scooter,0,Within SLA,Medium Distance
528,914,153,Cancelled,46.95,30,62,37.25,Bike,0,Within SLA,Long Distance
529,386,448,Delivered,38.99,19,49,20.26,Scooter,0,Within SLA,Long Distance
530,1378,258,On the way,37.14,23,46,29.88,Scooter,0,Within SLA,Long Distance
531,1026,52,On the way,47.43,19,64,3.47,Electric Bike,0,Within SLA,Long Distance
532,867,302,Cancelled,16.51,42,40,34.72,Moped,2,Within SLA,Medium Distance
533,1058,252,Delivered,26.33,55,59,1.02,Moped,0,Within SLA,Long Distance
534,664,317,Cancelled,14.09,51,55,13.48,Electric Scooter,0,Within SLA,Medium Distance
535,497,156,Delivered,2.14,29,62,10.73,Motorcycle,0,Within SLA,Short Distance
536,864,461,On the way,43.74,23,29,35.81,Motorcycle,0,Within SLA,Long Distance
537,761,93,Pending,36.65,57,25,39.98,Scooter,32,Breached,Long Distance
538,1043,108,Cancelled,47.83,46,57,17.38,Motorcycle,0,Within SLA,Long Distance
539,265,226,Cancelled,26.89,54,38,28.15,Electric Scooter,16,Breached,Long Distance
540,972,368,Pending,6.37,54,29,5.71,Motorcycle,25,Breached,Medium Distance
541,1326,459,Pending,17.03,41,38,8.36,Electric Scooter,3,Within SLA,Medium Distance
542,85,422,Delivered,30.89,33,40,24.06,Scooter,0,Within SLA,Long Distance
543,630,109,Delivered,7.06,34,39,18.59,Bike,0,Within SLA,Medium Distance
544,1286,290,On the way,12.63,59,56,13.84,Scooter,3,Within SLA,Medium Distance
545,381,80,Pending,5.46,18,40,28.72,Motorcycle,0,Within SLA,Medium Distance
546,1423,260,Delivered,12.05,45,67,16.29,Moped,0,Within SLA,Medium Distance
547,1234,134,Delivered,11.2,55,47,34.41,Scooter,8,Breached,Medium Distance
548,459,145,Cancelled,7.41,44,45,0.88,Scooter,0,Within SLA,Medium Distance
549,507,467,On the way,37.33,54,30,2.69,Electric Scooter,24,Breached,Long Distance
550,1127,42,Delivered,32.97,20,51,14,Electric Bike,0,Within SLA,Long Distance
551,736,59,Cancelled,15.99,24,45,6.04,Motorcycle,0,Within SLA,Medium Distance
552,74,60,On the way,44.59,18,29,49.28,Scooter,0,Within SLA,Long Distance
553,1455,120,Cancelled,2.66,36,61,46.69,Motorcycle,0,Within SLA,Short Distance
554,1484,40,Pending,30.08,42,41,11.45,Moped,1,Within SLA,Long Distance
555,1212,199,On the way,29.16,47,53,40.32,Bike,0,Within SLA,Long Distance
556,1239,259,Delivered,48.93,58,48,7.45,Scooter,10,Breached,Long Distance
557,986,76,Pending,37.55,57,63,9.47,Scooter,0,Within SLA,Long Distance
558,309,248,Delivered,46.41,15,54,40.8,Moped,0,Within SLA,Long Distance
559,1137,307,On the way,10.39,58,65,24.27,Motorcycle,0,Within SLA,Medium Distance
560,222,16,On the way,4.57,40,39,24.89,Electric Bike,1,Within SLA,Short Distance
561,649,323,Cancelled,25.69,53,34,40.28,Electric Bike,19,Breached,Long Distance
562,638,136,Cancelled,17.68,15,65,0.19,Electric Scooter,0,Within SLA,Medium Distance
563,680,412,Pending,23.27,20,59,2.4,Electric Scooter,0,Within SLA,Long Distance
564,564,36,Pending,32.75,29,28,10.13,Electric Bike,1,Within SLA,Long Distance
565,901,156,Delivered,2.38,34,69,6.88,Moped,0,Within SLA,Short Distance
566,1041,141,Pending,43.76,25,44,9.99,Motorcycle,0,Within SLA,Long Distance
567,228,432,Delivered,7.47,23,63,44.6,Bike,0,Within SLA,Medium Distance
568,70,10,Pending,25.3,22,33,18.53,Scooter,0,Within SLA,Long Distance
569,1309,14,Delivered,28.12,49,56,12.99,Moped,0,Within SLA,Long Distance
570,137,385,On the way,12.54,39,21,47.83,Scooter,18,Breached,Medium Distance
571,641,30,Cancelled,33.53,20,40,27.54,Electric Scooter,0,Within SLA,Long Distance
572,846,308,On the way,38.21,36,27,8.27,Electric Scooter,9,Breached,Long Distance
573,1438,468,Pending,2.76,60,54,44.35,Electric Scooter,6,Breached,Short Distance
574,252,485,Delivered,10.04,34,35,18.19,Electric Scooter,0,Within SLA,Medium Distance
575,567,154,Cancelled,36.38,17,35,46.56,Motorcycle,0,Within SLA,Long Distance
576,225,460,Cancelled,3.75,40,40,18.56,Scooter,0,Within SLA,Short Distance
577,753,219,On the way,2.11,49,47,46.18,Bike,2,Within SLA,Short Distance
578,64,69,Delivered,36.02,33,53,39.44,Scooter,0,Within SLA,Long Distance
579,338,264,Pending,3.62,47,42,19.11,Scooter,5,Within SLA,Short Distance
580,1143,250,Delivered,6.48,60,60,19.94,Electric Bike,0,Within SLA,Medium Distance
581,437,208,On the way,28.62,26,29,22.5,Motorcycle,0,Within SLA,Long Distance
582,771,180,On the way,26.32,45,54,34.28,Moped,0,Within SLA,Long Distance
583,1368,354,Delivered,36.26,44,47,20.11,Moped,0,Within SLA,Long Distance
584,1204,249,Delivered,25.75,15,58,32.69,Bike,0,Within SLA,Long Distance
585,157,123,Cancelled,13.04,37,33,46.01,Electric Bike,4,Within SLA,Medium Distance
586,1246,182,Cancelled,16.38,22,47,28.95,Bike,0,Within SLA,Medium Distance
587,477,184,Pending,39.13,35,35,1.58,Bike,0,Within SLA,Long Distance
588,949,308,Pending,1.8,23,61,40.24,Motorcycle,0,Within SLA,Short Distance
589,23,192,On the way,48.88,55,27,8.39,Motorcycle,28,Breached,Long Distance
590,210,396,Delivered,49.09,19,49,12.76,Scooter,0,Within SLA,Long Distance
591,1390,378,Cancelled,20.68,44,20,42.62,Electric Bike,24,Breached,Long Distance
592,204,447,On the way,23.67,20,47,38.89,Scooter,0,Within SLA,Long Distance
593,441,137,Delivered,1.61,18,33,39.2,Motorcycle,0,Within SLA,Short Distance
594,9,239,On the way,34.02,57,37,13.08,Electric Scooter,20,Breached,Long Distance
595,1181,313,Cancelled,9.78,59,53,23.49,Bike,6,Breached,Medium Distance
596,805,366,Cancelled,47.59,52,41,33.27,Bike,11,Breached,Long Distance
597,384,210,On the way,43.63,22,62,34.52,Bike,0,Within SLA,Long Distance
598,882,480,On the way,20.25,47,31,25.26,Electric Scooter,16,Breached,Long Distance
599,1113,229,Pending,39.8,28,62,31.36,Electric Bike,0,Within SLA,Long Distance
600,679,406,Pending,29.12,44,54,36.17,Motorcycle,0,Within SLA,Long Distance
601,228,449,On the way,14.23,47,27,8.03,Electric Bike,20,Breached,Medium Distance
602,235,90,Delivered,10.5,34,68,3.14,Motorcycle,0,Within SLA,Medium Distance
603,961,96,Cancelled,45.81,25,29,26.11,Electric Bike,0,Within SLA,Long Distance
604,623,421,Pending,28.96,44,65,32.95,Motorcycle,0,Within SLA,Long Distance
605,1378,500,On the way,47.69,54,30,32.88,Motorcycle,24,Breached,Long Distance
606,80,266,Cancelled,9.54,40,62,41.4,Bike,0,Within SLA,Medium Distance
607,903,18,Delivered,29.49,16,48,22.59,Bike,0,Within SLA,Long Distance
608,1484,216,Delivered,11.89,29,56,2.76,Motorcycle,0,Within SLA,Medium Distance
609,152,92,On the way,28.08,49,57,30.31,Motorcycle,0,Within SLA,Long Distance
610,1457,370,Pending,46.44,40,62,15.96,Scooter,0,Within SLA,Long Distance
611,253,86,Cancelled,46.59,21,51,40.13,Bike,0,Within SLA,Long Distance
612,1315,151,Delivered,14.01,36,35,2.42,Scooter,1,Within SLA,Medium Distance
613,1364,469,Pending,35.29,58,54,42.2,Scooter,4,Within SLA,Long Distance
614,693,257,On the way,16.94,48,25,39.81,Electric Scooter,23,Breached,Medium Distance
615,849,404,On the way,42.85,38,46,7.2,Motorcycle,0,Within SLA,Long Distance
616,5,123,Delivered,29.56,16,55,40.99,Bike,0,Within SLA,Long Distance
617,932,470,Delivered,16.04,18,31,22.23,Bike,0,Within SLA,Medium Distance
618,56,8,On the way,23.76,18,36,4.73,Motorcycle,0,Within SLA,Long Distance
619,765,331,Pending,18.6,49,65,47.11,Moped,0,Within SLA,Medium Distance
620,1135,38,Pending,47.47,60,66,43.33,Electric Scooter,0,Within SLA,Long Distance
621,474,177,Delivered,14.79,49,39,5.35,Electric Scooter,10,Breached,Medium Distance
622,648,269,Delivered,44.9,22,65,35.29,Motorcycle,0,Within SLA,Long Distance
623,1312,285,Pending,19.71,42,42,10.82,Electric Bike,0,Within SLA,Medium Distance
624,606,203,Delivered,2.91,19,57,17.5,Motorcycle,0,Within SLA,Short Distance
625,1146,140,Pending,40.25,46,43,49.21,Scooter,3,Within SLA,Long Distance
626,1320,30,On the way,37.17,22,42,1.64,Motorcycle,0,Within SLA,Long Distance
627,1092,246,Delivered,26.66,24,68,30.22,Bike,0,Within SLA,Long Distance
628,176,222,Pending,2.11,24,40,0.79,Electric Bike,0,Within SLA,Short Distance
629,1343,227,Cancelled,28.25,23,36,47.74,Motorcycle,0,Within SLA,Long Distance
630,391,28,On the way,1.43,44,25,7.2,Scooter,19,Breached,Short Distance
631,154,140,Cancelled,6.69,16,33,1.73,Electric Bike,0,Within SLA,Medium Distance
632,1136,380,Delivered,33.71,29,67,21.9,Moped,0,Within SLA,Long Distance
633,88,176,Pending,16.42,36,66,6.03,Scooter,0,Within SLA,Medium Distance
634,857,381,Delivered,40.39,40,25,41.47,Scooter,15,Breached,Long Distance
635,495,385,Cancelled,31.89,25,66,8.14,Motorcycle,0,Within SLA,Long Distance
636,117,287,Delivered,48.88,50,47,0.55,Electric Scooter,3,Within SLA,Long Distance
637,947,4,On the way,44.23,57,53,15.76,Bike,4,Within SLA,Long Distance
638,52,49,On the way,25.06,43,69,33.98,Motorcycle,0,Within SLA,Long Distance
639,206,156,Delivered,41.47,56,47,14.65,Moped,9,Breached,Long Distance
640,1167,397,Cancelled,14.96,43,30,37.32,Motorcycle,13,Breached,Medium Distance
641,1309,187,Pending,11.26,33,44,26.71,Electric Bike,0,Within SLA,Medium Distance
642,741,23,Delivered,33.8,58,42,5.37,Moped,16,Breached,Long Distance
643,350,495,On the way,46.75,25,43,11.73,Moped,0,Within SLA,Long Distance
644,924,381,Pending,6,48,66,7.93,Bike,0,Within SLA,Medium Distance
645,912,474,Cancelled,4.01,39,68,37.21,Moped,0,Within SLA,Short Distance
646,384,247,Delivered,23.18,39,61,40.21,Scooter,0,Within SLA,Long Distance
647,534,273,Delivered,11.63,24,56,2.67,Moped,0,Within SLA,Medium Distance
648,134,429,Pending,7.15,60,52,49.7,Bike,8,Breached,Medium Distance
649,146,207,On the way,46.38,33,60,22.45,Moped,0,Within SLA,Long Distance
